timestamp,temperature
2014-11-16 05:00:00,5.56
2014-11-16 05:10:00,5.71
2014-11-16 05:20:00,5.74
2014-11-16 05:30:00,5.74
2014-11-16 05:40:00,5.78
2014-11-16 05:50:00,5.92
2014-11-16 06:00:00,5.82
2014-11-16 06:10:00,5.88
2014-11-16 06:20:00,5.97
2014-11-16 06:30:00,6.04
2014-11-16 06:40:00,6.08
2014-11-16 06:50:00,6.18
2014-11-16 07:00:00,6.06
2014-11-16 07:10:00,6.08
2014-11-16 07:20:00,6.29
2014-11-16 07:30:00,6.32
2014-11-16 07:40:00,6.35
2014-11-16 07:50:00,6.41
2014-11-16 08:00:00,6.41
2014-11-16 08:10:00,6.42
2014-11-16 08:20:00,6.41
2014-11-16 08:30:00,6.38
2014-11-16 08:40:00,6.39
2014-11-16 08:50:00,6.43
2014-11-16 09:00:00,6.46
2014-11-16 09:10:00,6.45
2014-11-16 09:20:00,6.41
2014-11-16 09:30:00,6.33
2014-11-16 09:40:00,6.35
2014-11-16 09:50:00,6.47
2014-11-16 10:00:00,6.62
2014-11-16 10:10:00,6.63
2014-11-16 10:20:00,6.54
2014-11-16 10:30:00,6.6
2014-11-16 10:40:00,6.72
2014-11-16 10:50:00,7.11
2014-11-16 11:00:00,7.46
2014-11-16 11:10:00,7.41
2014-11-16 11:20:00,7.37
2014-11-16 11:30:00,7.32
2014-11-16 11:40:00,7.31
2014-11-16 11:50:00,7.71
2014-11-16 12:00:00,8.48
2014-11-16 12:10:00,8.99
2014-11-16 12:20:00,9.25
2014-11-16 12:30:00,9.6
2014-11-16 12:40:00,9.72
2014-11-16 12:50:00,9.86
2014-11-16 13:00:00,9.86
2014-11-16 13:10:00,10.03
2014-11-16 13:20:00,10.1
2014-11-16 13:30:00,9.95
2014-11-16 13:40:00,9.88
2014-11-16 13:50:00,10.02
2014-11-16 14:00:00,10.03
2014-11-16 14:10:00,9.98
2014-11-16 14:20:00,9.94
2014-11-16 14:30:00,10.0
2014-11-16 14:40:00,10.04
2014-11-16 14:50:00,9.99
2014-11-16 15:00:00,9.93
2014-11-16 15:10:00,9.93
2014-11-16 15:20:00,9.94
2014-11-16 15:30:00,9.89
2014-11-16 15:40:00,9.88
2014-11-16 15:50:00,9.75
2014-11-16 16:00:00,9.61
2014-11-16 16:10:00,9.51
2014-11-16 16:20:00,9.39
2014-11-16 16:30:00,9.25
2014-11-16 16:40:00,9.12
2014-11-16 16:50:00,9.03
2014-11-16 17:00:00,8.95
2014-11-16 17:10:00,8.91
2014-11-16 17:20:00,8.74
2014-11-16 17:30:00,8.68
2014-11-16 17:40:00,8.59
2014-11-16 17:50:00,8.43
2014-11-16 18:00:00,8.16
2014-11-16 18:10:00,8.16
2014-11-16 18:20:00,8.19
2014-11-16 18:30:00,8.16
2014-11-16 18:40:00,8.14
2014-11-16 18:50:00,8.18
2014-11-16 19:00:00,8.2
2014-11-16 19:10:00,8.19
2014-11-16 19:20:00,8.31
2014-11-16 19:30:00,8.31
2014-11-16 19:40:00,8.32
2014-11-16 19:50:00,8.11
2014-11-16 20:00:00,7.98
2014-11-16 20:10:00,7.91
2014-11-16 20:20:00,7.86
2014-11-16 20:30:00,7.86
2014-11-16 20:40:00,7.85
2014-11-16 20:50:00,7.7
2014-11-16 21:00:00,7.49
2014-11-16 21:10:00,7.3
2014-11-16 21:20:00,7.24
2014-11-16 21:30:00,7.22
2014-11-16 21:40:00,7.31
2014-11-16 21:50:00,7.26
2014-11-16 22:00:00,7.25
2014-11-16 22:10:00,7.14
