index,timestamp,original_temperature,damaged_temperature,reconstructed_temperature,mask,scenario,block_position,missing_rate,method
0,2009-01-01 00:10:00,-8.02,-8.02,-8.02,0,block,none,0.2,linear_interpolation
1,2009-01-01 00:20:00,-8.41,-8.41,-8.41,0,block,none,0.2,linear_interpolation
2,2009-01-01 00:30:00,-8.51,-8.51,-8.51,0,block,none,0.2,linear_interpolation
3,2009-01-01 00:40:00,-8.31,-8.31,-8.31,0,block,none,0.2,linear_interpolation
4,2009-01-01 00:50:00,-8.27,-8.27,-8.27,0,block,none,0.2,linear_interpolation
5,2009-01-01 01:00:00,-8.05,-8.05,-8.05,0,block,none,0.2,linear_interpolation
6,2009-01-01 01:10:00,-7.62,-7.62,-7.62,0,block,none,0.2,linear_interpolation
7,2009-01-01 01:20:00,-7.62,-7.62,-7.62,0,block,none,0.2,linear_interpolation
8,2009-01-01 01:30:00,-7.91,-7.91,-7.91,0,block,none,0.2,linear_interpolation
9,2009-01-01 01:40:00,-8.43,-8.43,-8.43,0,block,none,0.2,linear_interpolation
10,2009-01-01 01:50:00,-8.76,-8.76,-8.76,0,block,none,0.2,linear_interpolation
11,2009-01-01 02:00:00,-8.88,-8.88,-8.88,0,block,none,0.2,linear_interpolation
12,2009-01-01 02:10:00,-8.85,-8.85,-8.85,0,block,none,0.2,linear_interpolation
13,2009-01-01 02:20:00,-8.83,-8.83,-8.83,0,block,none,0.2,linear_interpolation
14,2009-01-01 02:30:00,-8.66,-8.66,-8.66,0,block,none,0.2,linear_interpolation
15,2009-01-01 02:40:00,-8.66,-8.66,-8.66,0,block,none,0.2,linear_interpolation
16,2009-01-01 02:50:00,-8.7,-8.7,-8.7,0,block,none,0.2,linear_interpolation
17,2009-01-01 03:00:00,-8.81,-8.81,-8.81,0,block,none,0.2,linear_interpolation
18,2009-01-01 03:10:00,-8.84,-8.84,-8.84,0,block,none,0.2,linear_interpolation
19,2009-01-01 03:20:00,-8.94,-8.94,-8.94,0,block,none,0.2,linear_interpolation
20,2009-01-01 03:30:00,-8.94,-8.94,-8.94,0,block,none,0.2,linear_interpolation
21,2009-01-01 03:40:00,-8.86,-8.86,-8.86,0,block,none,0.2,linear_interpolation
22,2009-01-01 03:50:00,-8.99,-8.99,-8.99,0,block,none,0.2,linear_interpolation
23,2009-01-01 04:00:00,-9.05,-9.05,-9.05,0,block,none,0.2,linear_interpolation
24,2009-01-01 04:10:00,-9.23,-9.23,-9.23,0,block,none,0.2,linear_interpolation
25,2009-01-01 04:20:00,-9.49,-9.49,-9.49,0,block,none,0.2,linear_interpolation
26,2009-01-01 04:30:00,-9.5,-9.5,-9.5,0,block,none,0.2,linear_interpolation
27,2009-01-01 04:40:00,-9.35,-9.35,-9.35,0,block,none,0.2,linear_interpolation
28,2009-01-01 04:50:00,-9.47,-9.47,-9.47,0,block,none,0.2,linear_interpolation
29,2009-01-01 05:00:00,-9.63,-9.63,-9.63,0,block,none,0.2,linear_interpolation
30,2009-01-01 05:10:00,-9.67,-9.67,-9.67,0,block,none,0.2,linear_interpolation
31,2009-01-01 05:20:00,-9.68,-9.68,-9.68,0,block,none,0.2,linear_interpolation
32,2009-01-01 05:30:00,-9.9,-9.9,-9.9,0,block,none,0.2,linear_interpolation
33,2009-01-01 05:40:00,-9.91,-9.91,-9.91,0,block,none,0.2,linear_interpolation
34,2009-01-01 05:50:00,-9.51,-9.51,-9.51,0,block,none,0.2,linear_interpolation
35,2009-01-01 06:00:00,-9.67,-9.67,-9.67,0,block,none,0.2,linear_interpolation
36,2009-01-01 06:10:00,-9.59,-9.59,-9.59,0,block,none,0.2,linear_interpolation
37,2009-01-01 06:20:00,-9.15,-9.15,-9.15,0,block,none,0.2,linear_interpolation
38,2009-01-01 06:30:00,-8.91,-8.91,-8.91,0,block,none,0.2,linear_interpolation
39,2009-01-01 06:40:00,-9.04,-9.04,-9.04,0,block,none,0.2,linear_interpolation
40,2009-01-01 06:50:00,-9.43,-9.43,-9.43,0,block,none,0.2,linear_interpolation
41,2009-01-01 07:00:00,-9.17,-9.17,-9.17,0,block,none,0.2,linear_interpolation
42,2009-01-01 07:10:00,-8.71,-8.71,-8.71,0,block,none,0.2,linear_interpolation
43,2009-01-01 07:20:00,-8.55,-8.55,-8.55,0,block,none,0.2,linear_interpolation
44,2009-01-01 07:30:00,-8.4,-8.4,-8.4,0,block,none,0.2,linear_interpolation
45,2009-01-01 07:40:00,-8.3,-8.3,-8.3,0,block,none,0.2,linear_interpolation
46,2009-01-01 07:50:00,-8.13,,-8.247627,1,block,none,0.2,linear_interpolation
47,2009-01-01 08:00:00,-8.1,,-8.195254,1,block,none,0.2,linear_interpolation
48,2009-01-01 08:10:00,-8.14,,-8.142881,1,block,none,0.2,linear_interpolation
49,2009-01-01 08:20:00,-8.06,,-8.090508,1,block,none,0.2,linear_interpolation
50,2009-01-01 08:30:00,-7.95,,-8.038136,1,block,none,0.2,linear_interpolation
51,2009-01-01 08:40:00,-7.74,,-7.985763,1,block,none,0.2,linear_interpolation
52,2009-01-01 08:50:00,-7.57,,-7.93339,1,block,none,0.2,linear_interpolation
53,2009-01-01 09:00:00,-7.66,,-7.881017,1,block,none,0.2,linear_interpolation
54,2009-01-01 09:10:00,-7.71,,-7.828644,1,block,none,0.2,linear_interpolation
55,2009-01-01 09:20:00,-7.56,,-7.776271,1,block,none,0.2,linear_interpolation
56,2009-01-01 09:30:00,-7.29,,-7.723898,1,block,none,0.2,linear_interpolation
57,2009-01-01 09:40:00,-7.15,,-7.671525,1,block,none,0.2,linear_interpolation
58,2009-01-01 09:50:00,-7.02,,-7.619153,1,block,none,0.2,linear_interpolation
59,2009-01-01 10:00:00,-7.04,,-7.56678,1,block,none,0.2,linear_interpolation
60,2009-01-01 10:10:00,-7.03,,-7.514407,1,block,none,0.2,linear_interpolation
61,2009-01-01 10:20:00,-7.15,,-7.462034,1,block,none,0.2,linear_interpolation
62,2009-01-01 10:30:00,-7.26,,-7.409661,1,block,none,0.2,linear_interpolation
63,2009-01-01 10:40:00,-7.34,,-7.357288,1,block,none,0.2,linear_interpolation
64,2009-01-01 10:50:00,-7.35,,-7.304915,1,block,none,0.2,linear_interpolation
65,2009-01-01 11:00:00,-7.41,,-7.252542,1,block,none,0.2,linear_interpolation
66,2009-01-01 11:10:00,-7.48,,-7.200169,1,block,none,0.2,linear_interpolation
67,2009-01-01 11:20:00,-7.38,,-7.147797,1,block,none,0.2,linear_interpolation
68,2009-01-01 11:30:00,-7.21,,-7.095424,1,block,none,0.2,linear_interpolation
69,2009-01-01 11:40:00,-7.16,,-7.043051,1,block,none,0.2,linear_interpolation
70,2009-01-01 11:50:00,-7.03,,-6.990678,1,block,none,0.2,linear_interpolation
71,2009-01-01 12:00:00,-6.87,,-6.938305,1,block,none,0.2,linear_interpolation
72,2009-01-01 12:10:00,-6.77,,-6.885932,1,block,none,0.2,linear_interpolation
73,2009-01-01 12:20:00,-6.7,,-6.833559,1,block,none,0.2,linear_interpolation
74,2009-01-01 12:30:00,-6.61,,-6.781186,1,block,none,0.2,linear_interpolation
75,2009-01-01 12:40:00,-6.51,,-6.728814,1,block,none,0.2,linear_interpolation
76,2009-01-01 12:50:00,-6.21,,-6.676441,1,block,none,0.2,linear_interpolation
77,2009-01-01 13:00:00,-5.89,,-6.624068,1,block,none,0.2,linear_interpolation
78,2009-01-01 13:10:00,-5.83,,-6.571695,1,block,none,0.2,linear_interpolation
79,2009-01-01 13:20:00,-5.76,,-6.519322,1,block,none,0.2,linear_interpolation
80,2009-01-01 13:30:00,-5.9,,-6.466949,1,block,none,0.2,linear_interpolation
81,2009-01-01 13:40:00,-5.97,,-6.414576,1,block,none,0.2,linear_interpolation
82,2009-01-01 13:50:00,-5.88,,-6.362203,1,block,none,0.2,linear_interpolation
83,2009-01-01 14:00:00,-5.94,,-6.309831,1,block,none,0.2,linear_interpolation
84,2009-01-01 14:10:00,-5.84,,-6.257458,1,block,none,0.2,linear_interpolation
85,2009-01-01 14:20:00,-5.76,,-6.205085,1,block,none,0.2,linear_interpolation
86,2009-01-01 14:30:00,-5.75,,-6.152712,1,block,none,0.2,linear_interpolation
87,2009-01-01 14:40:00,-5.76,,-6.100339,1,block,none,0.2,linear_interpolation
88,2009-01-01 14:50:00,-5.73,,-6.047966,1,block,none,0.2,linear_interpolation
89,2009-01-01 15:00:00,-5.69,,-5.995593,1,block,none,0.2,linear_interpolation
90,2009-01-01 15:10:00,-5.53,,-5.94322,1,block,none,0.2,linear_interpolation
91,2009-01-01 15:20:00,-5.57,,-5.890847,1,block,none,0.2,linear_interpolation
92,2009-01-01 15:30:00,-5.43,,-5.838475,1,block,none,0.2,linear_interpolation
93,2009-01-01 15:40:00,-5.32,,-5.786102,1,block,none,0.2,linear_interpolation
94,2009-01-01 15:50:00,-5.36,,-5.733729,1,block,none,0.2,linear_interpolation
95,2009-01-01 16:00:00,-5.4,,-5.681356,1,block,none,0.2,linear_interpolation
96,2009-01-01 16:10:00,-5.31,,-5.628983,1,block,none,0.2,linear_interpolation
