index,timestamp,original_temperature,damaged_temperature,reconstructed_temperature,mask,scenario,block_position,missing_rate,method
0,2009-01-01 00:10:00,-8.020000,-8.020000,-8.020000,0,block,none,0.20,decision_tree
1,2009-01-01 00:20:00,-8.410000,-8.410000,-8.410000,0,block,none,0.20,decision_tree
2,2009-01-01 00:30:00,-8.510000,-8.510000,-8.510000,0,block,none,0.20,decision_tree
3,2009-01-01 00:40:00,-8.310000,-8.310000,-8.310000,0,block,none,0.20,decision_tree
4,2009-01-01 00:50:00,-8.270000,-8.270000,-8.270000,0,block,none,0.20,decision_tree
5,2009-01-01 01:00:00,-8.050000,-8.050000,-8.050000,0,block,none,0.20,decision_tree
6,2009-01-01 01:10:00,-7.620000,-7.620000,-7.620000,0,block,none,0.20,decision_tree
7,2009-01-01 01:20:00,-7.620000,-7.620000,-7.620000,0,block,none,0.20,decision_tree
8,2009-01-01 01:30:00,-7.910000,-7.910000,-7.910000,0,block,none,0.20,decision_tree
9,2009-01-01 01:40:00,-8.430000,-8.430000,-8.430000,0,block,none,0.20,decision_tree
10,2009-01-01 01:50:00,-8.760000,-8.760000,-8.760000,0,block,none,0.20,decision_tree
11,2009-01-01 02:00:00,-8.880000,-8.880000,-8.880000,0,block,none,0.20,decision_tree
12,2009-01-01 02:10:00,-8.850000,-8.850000,-8.850000,0,block,none,0.20,decision_tree
13,2009-01-01 02:20:00,-8.830000,-8.830000,-8.830000,0,block,none,0.20,decision_tree
14,2009-01-01 02:30:00,-8.660000,-8.660000,-8.660000,0,block,none,0.20,decision_tree
15,2009-01-01 02:40:00,-8.660000,-8.660000,-8.660000,0,block,none,0.20,decision_tree
16,2009-01-01 02:50:00,-8.700000,-8.700000,-8.700000,0,block,none,0.20,decision_tree
17,2009-01-01 03:00:00,-8.810000,-8.810000,-8.810000,0,block,none,0.20,decision_tree
18,2009-01-01 03:10:00,-8.840000,-8.840000,-8.840000,0,block,none,0.20,decision_tree
19,2009-01-01 03:20:00,-8.940000,-8.940000,-8.940000,0,block,none,0.20,decision_tree
20,2009-01-01 03:30:00,-8.940000,-8.940000,-8.940000,0,block,none,0.20,decision_tree
21,2009-01-01 03:40:00,-8.860000,-8.860000,-8.860000,0,block,none,0.20,decision_tree
22,2009-01-01 03:50:00,-8.990000,-8.990000,-8.990000,0,block,none,0.20,decision_tree
23,2009-01-01 04:00:00,-9.050000,-9.050000,-9.050000,0,block,none,0.20,decision_tree
24,2009-01-01 04:10:00,-9.230000,-9.230000,-9.230000,0,block,none,0.20,decision_tree
