index,timestamp,scenario,block_position,missing_rate_percent,method,original_temperature,damaged_temperature,reconstructed_temperature,error
229,2009-01-02 14:20:00,block_end,end,20,linear_interpolation,-2.54,,-2.655424,0.11542399999999997
230,2009-01-02 14:30:00,block_end,end,20,linear_interpolation,-2.14,,-2.690847,0.5508470000000001
231,2009-01-02 14:40:00,block_end,end,20,linear_interpolation,-2.22,,-2.726271,0.5062709999999999
232,2009-01-02 14:50:00,block_end,end,20,linear_interpolation,-2.18,,-2.761695,0.5816949999999999
233,2009-01-02 15:00:00,block_end,end,20,linear_interpolation,-2.12,,-2.797119,0.6771189999999998
234,2009-01-02 15:10:00,block_end,end,20,linear_interpolation,-2.31,,-2.832542,0.5225420000000001
235,2009-01-02 15:20:00,block_end,end,20,linear_interpolation,-2.42,,-2.867966,0.4479660000000001
236,2009-01-02 15:30:00,block_end,end,20,linear_interpolation,-2.47,,-2.90339,0.4333899999999997
237,2009-01-02 15:40:00,block_end,end,20,linear_interpolation,-2.55,,-2.938814,0.388814
238,2009-01-02 15:50:00,block_end,end,20,linear_interpolation,-2.65,,-2.974237,0.3242370000000001
239,2009-01-02 16:00:00,block_end,end,20,linear_interpolation,-2.76,,-3.009661,0.24966100000000013
240,2009-01-02 16:10:00,block_end,end,20,linear_interpolation,-2.81,,-3.045085,0.23508499999999977
241,2009-01-02 16:20:00,block_end,end,20,linear_interpolation,-2.83,,-3.080508,0.25050799999999995
242,2009-01-02 16:30:00,block_end,end,20,linear_interpolation,-2.84,,-3.115932,0.27593200000000007
243,2009-01-02 16:40:00,block_end,end,20,linear_interpolation,-2.83,,-3.151356,0.32135599999999975
244,2009-01-02 16:50:00,block_end,end,20,linear_interpolation,-2.84,,-3.18678,0.3467800000000003
245,2009-01-02 17:00:00,block_end,end,20,linear_interpolation,-2.88,,-3.222203,0.34220300000000003
246,2009-01-02 17:10:00,block_end,end,20,linear_interpolation,-2.96,,-3.257627,0.29762699999999986
247,2009-01-02 17:20:00,block_end,end,20,linear_interpolation,-2.96,,-3.293051,0.3330510000000002
248,2009-01-02 17:30:00,block_end,end,20,linear_interpolation,-2.97,,-3.328475,0.3584749999999999
249,2009-01-02 17:40:00,block_end,end,20,linear_interpolation,-3.03,,-3.363898,0.33389800000000003
250,2009-01-02 17:50:00,block_end,end,20,linear_interpolation,-3.05,,-3.399322,0.34932200000000035
251,2009-01-02 18:00:00,block_end,end,20,linear_interpolation,-3.07,,-3.434746,0.36474600000000024
252,2009-01-02 18:10:00,block_end,end,20,linear_interpolation,-3.16,,-3.470169,0.3101689999999997
253,2009-01-02 18:20:00,block_end,end,20,linear_interpolation,-3.2,,-3.505593,0.305593
254,2009-01-02 18:30:00,block_end,end,20,linear_interpolation,-3.23,,-3.541017,0.3110170000000001
255,2009-01-02 18:40:00,block_end,end,20,linear_interpolation,-3.29,,-3.576441,0.28644099999999995
256,2009-01-02 18:50:00,block_end,end,20,linear_interpolation,-3.3,,-3.611864,0.31186400000000036
257,2009-01-02 19:00:00,block_end,end,20,linear_interpolation,-3.34,,-3.647288,0.3072880000000002
258,2009-01-02 19:10:00,block_end,end,20,linear_interpolation,-3.36,,-3.682712,0.3227120000000001
259,2009-01-02 19:20:00,block_end,end,20,linear_interpolation,-3.36,,-3.718136,0.358136
260,2009-01-02 19:30:00,block_end,end,20,linear_interpolation,-3.36,,-3.753559,0.3935590000000002
261,2009-01-02 19:40:00,block_end,end,20,linear_interpolation,-3.36,,-3.788983,0.4289830000000001
262,2009-01-02 19:50:00,block_end,end,20,linear_interpolation,-3.31,,-3.824407,0.5144069999999998
263,2009-01-02 20:00:00,block_end,end,20,linear_interpolation,-3.3,,-3.859831,0.559831
264,2009-01-02 20:10:00,block_end,end,20,linear_interpolation,-3.28,,-3.895254,0.6152540000000002
265,2009-01-02 20:20:00,block_end,end,20,linear_interpolation,-3.36,,-3.930678,0.570678
266,2009-01-02 20:30:00,block_end,end,20,linear_interpolation,-3.36,,-3.966102,0.6061019999999999
267,2009-01-02 20:40:00,block_end,end,20,linear_interpolation,-3.36,,-4.001525,0.6415250000000001
268,2009-01-02 20:50:00,block_end,end,20,linear_interpolation,-3.43,,-4.036949,0.6069489999999997
269,2009-01-02 21:00:00,block_end,end,20,linear_interpolation,-3.49,,-4.072373,0.5823729999999996
270,2009-01-02 21:10:00,block_end,end,20,linear_interpolation,-3.5,,-4.107797,0.6077969999999997
