index,timestamp,scenario,block_position,missing_rate_percent,method,original_temperature,damaged_temperature,reconstructed_temperature,error
115,2009-01-01 19:20:00,block_middle,middle,20,linear_interpolation,-4.86,,-4.901017,0.04101700000000008
116,2009-01-01 19:30:00,block_middle,middle,20,linear_interpolation,-4.9,,-4.902034,0.002033999999999203
117,2009-01-01 19:40:00,block_middle,middle,20,linear_interpolation,-4.97,,-4.903051,0.06694900000000015
118,2009-01-01 19:50:00,block_middle,middle,20,linear_interpolation,-4.99,,-4.904068,0.08593200000000056
119,2009-01-01 20:00:00,block_middle,middle,20,linear_interpolation,-4.9,,-4.905085,0.00508499999999934
120,2009-01-01 20:10:00,block_middle,middle,20,linear_interpolation,-4.93,,-4.906102,0.023897999999999975
121,2009-01-01 20:20:00,block_middle,middle,20,linear_interpolation,-4.89,,-4.907119,0.017119000000000106
122,2009-01-01 20:30:00,block_middle,middle,20,linear_interpolation,-4.93,,-4.908136,0.021863999999999884
123,2009-01-01 20:40:00,block_middle,middle,20,linear_interpolation,-5.0,,-4.909153,0.09084700000000012
124,2009-01-01 20:50:00,block_middle,middle,20,linear_interpolation,-4.9,,-4.910169,0.010168999999999428
125,2009-01-01 21:00:00,block_middle,middle,20,linear_interpolation,-4.8,,-4.911186,0.11118600000000001
126,2009-01-01 21:10:00,block_middle,middle,20,linear_interpolation,-4.84,,-4.912203,0.07220300000000002
127,2009-01-01 21:20:00,block_middle,middle,20,linear_interpolation,-4.9,,-4.91322,0.013219999999999565
128,2009-01-01 21:30:00,block_middle,middle,20,linear_interpolation,-4.86,,-4.914237,0.05423699999999965
129,2009-01-01 21:40:00,block_middle,middle,20,linear_interpolation,-4.76,,-4.915254,0.15525400000000023
130,2009-01-01 21:50:00,block_middle,middle,20,linear_interpolation,-4.61,,-4.916271,0.30627099999999974
131,2009-01-01 22:00:00,block_middle,middle,20,linear_interpolation,-4.5,,-4.917288,0.4172880000000001
132,2009-01-01 22:10:00,block_middle,middle,20,linear_interpolation,-4.41,,-4.918305,0.508305
133,2009-01-01 22:20:00,block_middle,middle,20,linear_interpolation,-4.4,,-4.919322,0.5193219999999998
134,2009-01-01 22:30:00,block_middle,middle,20,linear_interpolation,-4.32,,-4.920339,0.600339
135,2009-01-01 22:40:00,block_middle,middle,20,linear_interpolation,-4.17,,-4.921356,0.7513560000000004
136,2009-01-01 22:50:00,block_middle,middle,20,linear_interpolation,-4.3,,-4.922373,0.6223730000000005
137,2009-01-01 23:00:00,block_middle,middle,20,linear_interpolation,-4.47,,-4.92339,0.4533900000000006
138,2009-01-01 23:10:00,block_middle,middle,20,linear_interpolation,-4.5,,-4.924407,0.4244070000000004
139,2009-01-01 23:20:00,block_middle,middle,20,linear_interpolation,-4.51,,-4.925424,0.4154239999999998
140,2009-01-01 23:30:00,block_middle,middle,20,linear_interpolation,-4.33,,-4.926441,0.5964409999999996
141,2009-01-01 23:40:00,block_middle,middle,20,linear_interpolation,-4.33,,-4.927458,0.5974579999999996
142,2009-01-01 23:50:00,block_middle,middle,20,linear_interpolation,-4.58,,-4.928475,0.34847499999999965
143,2009-01-02 00:00:00,block_middle,middle,20,linear_interpolation,-4.54,,-4.929492,0.3894919999999997
144,2009-01-02 00:10:00,block_middle,middle,20,linear_interpolation,-4.6,,-4.930508,0.330508
145,2009-01-02 00:20:00,block_middle,middle,20,linear_interpolation,-4.67,,-4.931525,0.2615249999999998
146,2009-01-02 00:30:00,block_middle,middle,20,linear_interpolation,-4.66,,-4.932542,0.2725419999999996
147,2009-01-02 00:40:00,block_middle,middle,20,linear_interpolation,-4.55,,-4.933559,0.383559
148,2009-01-02 00:50:00,block_middle,middle,20,linear_interpolation,-4.43,,-4.934576,0.5045760000000001
149,2009-01-02 01:00:00,block_middle,middle,20,linear_interpolation,-4.44,,-4.935593,0.4955929999999995
150,2009-01-02 01:10:00,block_middle,middle,20,linear_interpolation,-4.39,,-4.93661,0.5466100000000003
151,2009-01-02 01:20:00,block_middle,middle,20,linear_interpolation,-4.4,,-4.937627,0.5376269999999996
152,2009-01-02 01:30:00,block_middle,middle,20,linear_interpolation,-4.4,,-4.938644,0.5386439999999997
153,2009-01-02 01:40:00,block_middle,middle,20,linear_interpolation,-4.31,,-4.939661,0.6296610000000005
154,2009-01-02 01:50:00,block_middle,middle,20,linear_interpolation,-4.26,,-4.940678,0.6806780000000003
155,2009-01-02 02:00:00,block_middle,middle,20,linear_interpolation,-4.29,,-4.941695,0.6516950000000001
156,2009-01-02 02:10:00,block_middle,middle,20,linear_interpolation,-4.26,,-4.942712,0.6827120000000004
157,2009-01-02 02:20:00,block_middle,middle,20,linear_interpolation,-4.27,,-4.943729,0.6737290000000007
158,2009-01-02 02:30:00,block_middle,middle,20,linear_interpolation,-4.3,,-4.944746,0.6447460000000005
159,2009-01-02 02:40:00,block_middle,middle,20,linear_interpolation,-4.32,,-4.945763,0.6257630000000001
